slang,formal
geje,tidak jelas
gepeng,gelandangan dan pengemis
gercep,sangat responsif cepat dan tanggap
gercepp,sangat cepat
ghiy,lagi
gigi,layanan poliklinik
gilaak,gila kesal buruk
gilak,gila kesal buruk
gile,gila
gimana,bagaimana
gini,begini
gino,gigi nongol
githu,gitu
gitu,begitu
gj,tidak jelas
gjls,tidak jelas
gk,tidak
gk guna,tidak guna
gka,tidak
gkada,tidak ada
gkbisa,tidak bisa
gkmau,tidak mau
gktau,tidak tahu
gkusah,tidak perlu
gmana,bagaimana
gmn,bagaimana
gmna,bagaimana
gmpang,sangat mudah
gmw,tidak mau
gn,begini
goblog,sangat bodoh
goblok,buruk bodoh
goblokk,sangat bodoh
golput,golongan putih
good,sangat bagus
gowes,mengayuh sepeda
gpapa,tidak apa-apa
gpny,tidak punya
gpp,tidak apa-apa
gr,gede rasa
gregetan,sangat kesal
gretongan,gratisan
gtau,tidak tahu
gtu,begitu
gua,saya
gud,sangat bagus
gue,saya
guna,guna
guoblok,goblok
gw,saya
gwa,saya
ha,tertawa
hadeh,mengeluh lelah
hadehh,mengeluh lelah
hadehhh,mengeluh lelah
haha,tertawa gembira
hahaha,tertawa gembira
hahahaha,tertawa gembira
hallow,halo
hana,tidak
hana jelah,tidak jelas buruk
hancur,rusak buruk
hancur banget,sangat buruk
hancur lebur,sangat buruk rusak
hang,berhenti merespon
hankam,pertahanan dan keamanan
hapus,buang
hehe,senyum ramah
hehehe,senyum ramah
helo,halo
hemat,sangat menghemat
hemat waktu,sangat efisien
hey,hai
hlm,halaman
hny,hanya
hoax,berita bohong
hr,hari
hrus,harus
hubdar,perhubungan darat
hubungin,hubungi
huff,mengeluh
hum,rumah
humz,rumah
idiot,buruk bodoh
igd,instalasi gawat
ilang,hilang
ilfil,tidak suka
imho,in my humble opinion
imoetz,imut
indo,indonesia
instal,pasang
install,pasang
invalid,tidak sah
isi pulsa,isi ulang pulsa
isi saldo,isi ulang saldo
isipulsa,isi ulang pulsa
isisaldo,isi ulang saldo
item,hitam
itungan,hitungan
iuran,iuran bulanan
iuran bulanan,iuran bulanan
iye,iya
ja,saja
jadiin,jadi
jadwal dokter,jadwal praktik
